Estabelecimento;CNES;Endereço;CEP;Horário;Sala Vacina;Farmácia;Coleta de Material;Região Administrativa
UBS 1 ENGENHO VELHO FERCAL;2804360;DF 150 KM 12 QUADRA 10 CASA;73150030;De Segunda a Sexta das 07:00 às 18:00;SIM;SIM;SIM;FERCAL
UBS 8 CAVAS DE BAIXO - SAO SEBASTIAO;7975295;BR 251 KM 29;71693990;De Segunda a Sexta das 07:00 às 17:00;SIM;NÃO;SIM;SAO SEBASTIAO
UBS 3 RESIDENCIAL OESTE - SAO SEBASTIAO;3212068;QUADRA 301, CONJ 06, LOTE 01;71692725;De Segunda a Sexta das 07:00 às 17:00;SIM;SIM;SIM;SAO SEBASTIAO
UBS 5 SETOR DE MANSOES SOBRADINHO II;7686730;COND MINI CHACARAS QMS 16 RUA 14 CASA;73082120;De Segunda a Sexta das 07:00 às 18:00;SIM;NÃO;NÃO;SOBRADINHO II
UBS 6 - CARIRU - PARANOA;2804107;COLONIA AGRICOLA DF 120 AE;71586300;De Segunda a Sexta das 07:00 às 17:00;SIM;NÃO;SIM;PARANOA
UBS 12 BICA DO DER PLANALTINA;2804123;RODOVIA DF-128, KM 21;73380900;De Segunda a Sexta das 07:00 às 17:00;SIM;NÃO;SIM;PLANALTINA
UBS 10 SANTA MARIA;2673894;AREA ESPECIAL DO DVO RUA DO EUCALIPTO N�;72450150;De Segunda a Sexta das 07:00 às 18:00;SIM;SIM;SIM;SANTA MARIA
UBS 10 TAQUARA PLANALTINA;2804174;NUCLEO RURAL TAQUARA, QUADRA 1, AREA ESPECIAL;73389003;De Segunda a Sexta das 07:00 às 17:00;SIM;NÃO;SIM;PLANALTINA
UBS 16 ATP GAMA;7843135;AREA ESPECIAL ALAGADOS;72444220;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 19:00 e Domingo das 07:00 às 19:00;SIM;SIM;SIM;GAMA
UBS 6 LAGO OESTE SOBRADINHO;2804387;RODOVIA DF-001 KM 120 CHACARA;73100011;De Segunda a Sexta das 07:00 às 17:00;SIM;SIM;SIM;SOBRADINHO II
UBS 13 BOA ESPERANCA CEILANDIA;3144542;NUCLEO RURAL BOA ESPERANCA;72227991;De Segunda a Sexta das 07:00 às 18:00;NÃO;NÃO;SIM;CEILANDIA
UBS 09 SAMAMBAIA;3742857;QN 317 AREA ESPECIAL;72307716;De Segunda a Sexta das 07:00 às 18:00;NÃO;NÃO;NÃO;SAMAMBAIA
UBS 10 JOAO CANDIDO - SAO SEBASTIAO;3286932;RUA 14, LOTE 21, LOJAS 1, 2 E 3;71693214;De Segunda a Sexta das 07:00 às 17:00;SIM;NÃO;NÃO;JARDIM BOTANICO
UBS 6 SANTA MARIA;3144607;QR 202/302 LOTE 2;72505400;De Segunda a Sexta das 07:00 às 18:00;SIM;SIM;NÃO;SANTA MARIA
UBS 15 CEILANDIA;7347723;QNR 02 AREA ESPECIAL 12;72242000;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;CEILANDIA
UBS 3 CEILANDIA;0010995;QNM 15 LOTE D AREA ESPECIAL;72215150;De Segunda a Sexta das 07:00 às 22:00;SIM;SIM;SIM;CEILANDIA
UBS 4 CEILANDIA;0011002;QNN 16 LOTE F;72220160;De Segunda a Sexta das 07:00 às 18:00;SIM;SIM;SIM;CEILANDIA
UBS 10 CEILANDIA;0011207;QNN 12 AREA ESPECIAL 1;72220120;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;CEILANDIA
UBS 2 CEILANDIA;0010987;QNN 15 LOTE F;72225150;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;CEILANDIA
UBS 16 CEILANDIA;9475931;QUADRA 500 AE S/N TRECHO 1 SOL NASCENTE;72236800;De Segunda a Sexta das 07:00 às 18:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;SOL NASCENTE/POR DO SOL
UBS 17 JARDIM MORUMBI PLANALTINA;3144666;NR JARDIM MORUMBI, ROD DF 128, KM 3, GLEBA F,;73307990;De Segunda a Sexta das 07:00 às 17:00;SIM;SIM;SIM;PLANALTINA
UBS 19 VILA DO BOA - SAO SEBASTIAO;3254909;RUA 07 CASA 400;71697329;De Segunda a Sexta das 07:00 às 17:00;SIM;NÃO;SIM;SAO SEBASTIAO
